Element1,Element2,Element3,Element4,afm,lat,sws0,sws_init,mag,B0,TC
Ti,Mn,Te,Ru,0,0,3.0766015,3.147766029604944,0.588001736,108.10465,66.5087826
Ti,Mn,Te,W,0,0,3.1139002,3.178359282643421,0.6050390200000001,125.73645,52.08218060000001
Ti,Mn,Tl,Ag,0,1,3.1179562,3.12172193090247,0.722295211,79.54356,151.78277000000003
Ti,Mn,Tl,As,0,1,3.1254363,3.182084451066209,0.7613636029999999,67.00702,112.2339708
Ti,Mn,Tl,Au,0,1,3.0807629,3.120577696855892,0.72666523,99.69855,74.7429724
Ti,Mn,Tl,Bi,0,0,3.3479543,3.35661584404556,0.7580901470000001,59.650166,160.593008
Ti,Mn,Tl,Cd,0,1,3.1719103,3.182964872343904,0.73749633,69.10938,146.241622
Ti,Mn,Tl,Co,0,0,2.9977481,3.0375529232801,0.908436394,94.142365,438.2254520000001
Ti,Mn,Tl,Cr,0,0,2.9894705,3.050592475529784,0.0859202308,103.41326,119.90658000000002
Ti,Mn,Tl,Cu,0,1,3.043429,3.047787099933728,0.493443033,82.2691,154.346254
Ti,Mn,Tl,Fe,0,0,3.0126781,3.0473070313915422,1.1050148200000005,88.82857,568.4607740000001
Ti,Mn,Tl,Ga,0,1,3.1022813,3.1565611620507026,0.734631904,70.359505,120.898942
Ti,Mn,Tl,Ge,0,1,3.1534283,3.196985863405897,0.7578043560000001,64.68088,121.3857508
Ti,Mn,Tl,Hg,0,0,3.1917315,3.206771217947888,0.7237251800000001,64.781204,164.72545920000002
Ti,Mn,Tl,In,0,1,3.2035282,3.2419376325412363,0.7207092100000001,65.30039,138.302854
Ti,Mn,Tl,Ir,0,0,3.1319504,3.0812576842498443,0.8425830650000001,67.88221,87.57866080000001
Ti,Mn,Tl,Mo,0,0,3.0467956,3.101390028439601,0.505916433,113.95602,111.9738034
Ti,Mn,Tl,Ni,0,0,3.0055125,3.0352316324694977,0.25665541,94.12749,96.6626112
Ti,Mn,Tl,Os,0,0,3.128275,3.0793075206375886,0.8335163839999999,66.91477,61.6024588
